customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax
CHAVE,Chavez-Turner,Stacey Martin,Mr/Ms,"0 Katie Junction
Hinesmouth, VIC, 2958","Hinesmouth, VIC, 2958",NULL,2958,AUS,0470 644 721,NULL
RIVAS,Rivas-Chambers,Randy Young,Mr/Ms,"Unit 73
 517 Montgomery Route
Rogersburgh, ACT, 2962","Rogersburgh, ACT, 2962",NULL,2962,AUS,0499 367 143,NULL
GARZA,"Garza, Gay and Adams",James Medina,Mr/Ms,"Flat 91
 090 Courtney Subway
North Melissa, NT, 2272","North Melissa, NT, 2272",NULL,2272,AUS,(08)50013674,NULL
WRIGH,Wright PLC,Linda Watts,Mr/Ms,"35 Long Alley
Stacymouth, VIC, 2956","Stacymouth, VIC, 2956",NULL,2956,AUS,351975109,NULL
BECK-,Beck-Dixon,Rebecca Garcia,Mr/Ms,"154 Anderson Villas
Wilkinsville, TAS, 0996","Wilkinsville, TAS, 0996",NULL,996,AUS,29817549,NULL
GORDO,"Gordon, Pham and Patel",Julia Kelly,Mr/Ms,"390 John Plaza
Hendersonburgh, WA, 8621","Hendersonburgh, WA, 8621",NULL,8621,AUS,(02).6626.6265,NULL
"BELL,","Bell, Patel and Townsend",Michele Oconnor,Mr/Ms,"9 Wiley Freeway
Jasonberg, NSW, 2662","Jasonberg, NSW, 2662",NULL,2662,AUS,+61 8 5557 0471,NULL
KRUEG,"Krueger, Shields and Hahn",Melvin Hurley,Mr/Ms,"44 /
 534 Benjamin Close
Pamelaville, SA, 2955","Pamelaville, SA, 2955",NULL,2955,AUS,-1946,NULL
GIBSO,"Gibson, Warren and Hall",Amy Kim,Mr/Ms,"Unit 57
 48 David Ronde
Jamieborough, NT, 2611","Jamieborough, NT, 2611",NULL,2611,AUS,9427402,NULL
THOMA,Thomas Inc,Christine Reyes,Mr/Ms,"8 Camacho Amble
Ortizshire, QLD, 2362","Ortizshire, QLD, 2362",NULL,2362,AUS,(08).9468.9067,NULL
WILLI,Williams-Carter,William Roberts,Mr/Ms,"Apt. 483
 1 Ronald Front
Marymouth, SA, 4455","Marymouth, SA, 4455",NULL,4455,AUS,08.8426.5779,NULL
HOWAR,"Howard, Huff and Golden",Amanda Morris,Mr/Ms,"8 /
 8 Williams Mount
South Heidiport, ACT, 9541","South Heidiport, ACT, 9541",NULL,9541,AUS,-9851,NULL
MOORE,Moore-Vaughn,Pamela Gonzalez,Mr/Ms,"88 Bennett Strip
Potterview, VIC, 9993","Potterview, VIC, 9993",NULL,9993,AUS,+61.443.321.453,NULL
GORDO,"Gordon, Robinson and Andrews",Timothy Sullivan,Mr/Ms,"84 Hansen Follow
New Allison, SA, 2920","New Allison, SA, 2920",NULL,2920,AUS,-13227,NULL
FORD-,Ford-Wolf,Noah Turner,Mr/Ms,"4 /
 9 Kimberly Pocket
Port Kaylaborough, TAS, 2920","Port Kaylaborough, TAS, 2920",NULL,2920,AUS,(02)96015880,NULL
MORRI,Morris LLC,Nathaniel Thompson,Mr/Ms,"Flat 28
 393 Aaron Foreshore
South Jonathan, TAS, 2941","South Jonathan, TAS, 2941",NULL,2941,AUS,(08)-0565-1175,NULL
BRIGG,Briggs-James,Adam Trujillo,Mr/Ms,"602 Heather Cutting
Lake Ericborough, QLD, 2667","Lake Ericborough, QLD, 2667",NULL,2667,AUS,0415 273 602,NULL
GONZA,Gonzalez-Murray,Brandon Ali DDS,Mr/Ms,"813 Valerie Retreat
Laurenmouth, WA, 2917","Laurenmouth, WA, 2917",NULL,2917,AUS,07.9286.8565,NULL
WILLI,Williams-Jacobson,Casey Smith,Mr/Ms,"Suite 989
 703 Potter Entrance
St. Rhonda, NSW, 2634","St. Rhonda, NSW, 2634",NULL,2634,AUS,+61.7.4218.2191,NULL
WARNE,"Warner, Davis and Molina",Gina Torres,Mr/Ms,"36 Austin Cove
Nelsonhaven, TAS, 2697","Nelsonhaven, TAS, 2697",NULL,2697,AUS,6254 1158,NULL
BUCKL,Buckley Inc,Heather Robinson,Mr/Ms,"74 Tammy Mount
St. Laurafurt, SA, 2579","St. Laurafurt, SA, 2579",NULL,2579,AUS,(02)78496911,NULL
RAMIR,"Ramirez, Harper and Coleman",John Mann,Mr/Ms,"Apt. 868
 34 Rebecca Ridgeway
Allenhaven, ACT, 2600","Allenhaven, ACT, 2600",NULL,2600,AUS,+61 8 3272 0800,NULL
