orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
1,BEER,9,4/1/1996,6/12/1996,4/20/1996,3,48.1,NULL,"Felicitas-Kruschwitz-Allee 81
26215 Sigmaringen",Sigmaringen,3,"81
26215 ",Germany
2,HEIN,3,4/1/1996,4/18/1996,4/1/1996,1,31.9,NULL,"Oestrovskyring 33
12688 Luckau",Luckau,2,"33
12688 ",Germany
3,HENCK,6,4/1/1996,6/5/1996,5/14/1996,2,49.4,NULL,"Deborah-Kambs-Platz 9/7
14188 Mallersdorf", Mallersdorf,4,"9/7
14188",Germany
4,MöCH,6,4/1/1996,6/17/1996,5/23/1996,3,12.2,NULL,"Salzplatz 507
30349 Fürstenfeldbruck", Fürstenfeldbruck,1,"507
30349",Germany
5,JOPIC,8,4/1/1996,7/5/1996,4/8/1996,1,17.1,NULL,"Barkholzallee 609
96700 Neustadtner Waldnaab", Neustadtner Waldnaab,2,"609
96700",Germany
6,ROSEM,4,4/2/1996,5/5/1996,4/8/1996,2,64.1,NULL,"Oestrovskyring 33
12688 Luckau",Luckau,4,"33
12688 ",Germany
7,ZAHN ,3,4/3/1996,4/18/1996,4/6/1996,2,43.6,NULL,"Justina-Dussen van-Weg 5
63701 Stendal","
63701 Stendal",2,"van-Weg 5",Germany
8,HüBE,8,4/3/1996,6/4/1996,4/3/1996,3,39.1,NULL,"Schmidtweg 2
46261 Freital",reital,2,"2
46261 F",Germany
9,WOHLG,2,4/4/1996,6/5/1996,5/25/1996,2,91.4,NULL,"Bohlanderallee 2/9
85077 Gunzenhausen", Gunzenhausen,2,"2/9
85077",Germany
10,SCHMI,3,4/5/1996,4/23/1996,4/6/1996,3,24.1,NULL,"Silvana-Wagenknecht-Straße 2
92679 Stade",tade,2,"2
92679 S",Germany
11,HILLE,3,4/6/1996,4/21/1996,4/7/1996,1,28.4,NULL,"Weißstr. 24
13500 Uelzen",Uelzen,2,"24
13500 ",Germany
12,SCHWI,9,4/6/1996,4/21/1996,4/6/1996,2,99.1,NULL,"Gotthardallee 5/5
45130 Hohenmölsen", Hohenmölsen,4,"5/5
45130",Germany
13,SCHö,9,4/6/1996,6/25/1996,5/27/1996,1,14.8,NULL,"Patberggasse 3
50164 Gelnhausen",elnhausen,2,"3
50164 G",Germany
14,HENCK,2,4/6/1996,6/2/1996,4/30/1996,3,27.2,NULL,"Schwitalring 880
19940 Zossen", Zossen,4,"880
19940",Germany
15,KARZ ,9,4/9/1996,5/10/1996,4/9/1996,2,91.9,NULL,"Luciano-Ruppersberger-Allee 4/9
01718 Bad Kissingen", Bad Kissingen,2,"4/9
01718",Germany
16,TRöS,1,4/10/1996,5/14/1996,4/19/1996,2,28.5,NULL,"Guntram-Staude-Gasse 410
27971 Hildesheim", Hildesheim,1,"410
27971",Germany
17,WIELO,7,4/10/1996,6/24/1996,4/16/1996,3,26.7,NULL,"Spießallee 07
63135 Lemgo",Lemgo,4,"07
63135 ",Germany
18,HENCK,4,4/10/1996,7/3/1996,4/13/1996,3,80.4,NULL,"Enrico-Drewes-Allee 864
55722 Suhl", Suhl,3,"864
55722",Germany
19,DREWE,8,4/10/1996,5/27/1996,4/19/1996,3,66.7,NULL,"Gabriele-Rudolph-Platz 1/5
50734 Artern", Artern,4,"1/5
50734",Germany
20,LöWE,3,4/11/1996,6/16/1996,6/6/1996,1,43.7,NULL,"Rosemannstr. 304
11229 Coburg", Coburg,1,"304
11229",Germany
21,KLEMT,6,4/11/1996,5/8/1996,4/25/1996,1,11.1,NULL,"Drewesgasse 71
11958 Neuss",Neuss,1,"71
11958 ",Germany
22,KRAUS,9,4/12/1996,5/23/1996,5/2/1996,1,27.2,NULL,"Ramazan-Schuster-Platz 2
82214 Celle",elle,3,"2
82214 C",Germany
23,HEIN,1,4/12/1996,7/14/1996,6/14/1996,3,20,NULL,"Lindnergasse 182
44826 Deggendorf", Deggendorf,1,"182
44826",Germany
24,ZIRME,4,4/13/1996,6/19/1996,4/14/1996,3,51.5,NULL,"Hörlestraße 34
51159 Soltau",Soltau,3,"34
51159 ",Germany
25,TRUB ,7,4/13/1996,6/11/1996,5/31/1996,2,54.4,NULL,"Herrmannstr. 02
29655 Wanzleben",Wanzleben,4,"02
29655 ",Germany
26,FREUD,6,4/13/1996,4/25/1996,4/13/1996,3,16.7,NULL,"Wesackring 612
85272 Zerbst", Zerbst,1,"612
85272",Germany
27,BAUM,5,4/14/1996,7/13/1996,6/9/1996,1,93,NULL,"Caterina-Mentzel-Straße 2
04206 Deggendorf",eggendorf,4,"2
04206 D",Germany
28,KUSCH,3,4/14/1996,6/23/1996,5/12/1996,2,44.4,NULL,"Dietzstraße 24
40598 Herzberg",Herzberg,2,"24
40598 ",Germany
29,ERNST,3,4/14/1996,5/2/1996,4/21/1996,1,20,NULL,"Kühnertring 8
13040 Büsingenm Hochrhein",üsingenm Hochrhein,3,"8
13040 B",Germany
30,HEUSE,1,4/14/1996,4/30/1996,4/17/1996,1,98.4,NULL,"Pamela-Stahr-Weg 43
96301 Merseburg",Merseburg,2,"43
96301 ",Germany
31,PIEPE,8,4/15/1996,7/1/1996,5/18/1996,1,44.8,NULL,"Langering 9/1
59895 Eisenach", Eisenach,3,"9/1
59895",Germany
32,VOGT ,5,4/15/1996,6/5/1996,5/18/1996,3,22.4,NULL,"Paulo-Mühle-Ring 57
66088 Burgdorf",Burgdorf,3,"57
66088 ",Germany
33,REICH,5,4/16/1996,5/4/1996,4/16/1996,1,76.1,NULL,"Udo-Eckbauer-Platz 885
14501 Fulda", Fulda,1,"885
14501",Germany
34,SCHOL,2,4/16/1996,6/17/1996,6/7/1996,3,38.3,NULL,"Jiri-Becker-Ring 43
31344 Bad Kreuznach",Bad Kreuznach,3,"43
31344 ",Germany
35,ANDER,2,4/17/1996,6/14/1996,5/13/1996,1,40.4,NULL,"Beckmannstr. 0/0
13322 Neustrelitz", Neustrelitz,3,"0/0
13322",Germany
36,DRUBI,2,4/20/1996,7/5/1996,5/26/1996,1,65.5,NULL,"Karen-Kreusel-Gasse 011
96562 Viersen", Viersen,2,"011
96562",Germany
37,TEXTO,7,4/20/1996,5/10/1996,4/22/1996,1,43.6,NULL,"Horniggasse 7/5
99665 Fürstenwalde", Fürstenwalde,1,"7/5
99665",Germany
38,WARME,1,4/21/1996,7/26/1996,5/9/1996,1,41.9,NULL,"Caterina-Mentzel-Straße 2
04206 Deggendorf",eggendorf,2,"2
04206 D",Germany
39,SCHMI,4,4/23/1996,7/19/1996,6/1/1996,2,2,NULL,"Blümelgasse 9
50750 Roth",oth,3,"9
50750 R",Germany
40,BOLNB,7,4/23/1996,5/12/1996,4/28/1996,1,11.1,NULL,"Butteweg 6
48836 Bad Brückenau",ad Brückenau,3,"6
48836 B",Germany
41,SCHWI,5,4/24/1996,5/5/1996,4/25/1996,3,90.8,NULL,"Kösterweg 15
75990 Lichtenfels",Lichtenfels,2,"15
75990 ",Germany
42,LöWE,1,4/25/1996,8/1/1996,6/21/1996,2,25.6,NULL,"Arnfried-Stoll-Straße 3/9
91162 Coburg", Coburg,4,"3/9
91162",Germany
43,MITSC,1,4/26/1996,6/23/1996,5/23/1996,3,42.6,NULL,"Kochstraße 0
97773 Neunburg vorm Wald",eunburg vorm Wald,1,"0
97773 N",Germany
44,MäLZ,8,4/26/1996,8/3/1996,7/14/1996,2,6.3,NULL,"Strohweg 672
03176 Torgau", Torgau,3,"672
03176",Germany
45,TRUB ,8,4/30/1996,5/10/1996,4/30/1996,2,84.7,NULL,"Knappeweg 9/8
99974 Lippstadt", Lippstadt,1,"9/8
99974",Germany
46,HOLST,5,4/30/1996,6/6/1996,5/3/1996,2,3.6,NULL,"Schuchhardtgasse 677
21925 Mellrichstadt", Mellrichstadt,3,"677
21925",Germany
47,GIEß,9,4/30/1996,6/17/1996,6/6/1996,1,31.9,NULL,"Zobelstraße 578
16565 Säckingen", Säckingen,3,"578
16565",Germany
48,STOLL,5,5/1/1996,7/21/1996,6/24/1996,1,15.2,NULL,"Schäfergasse 5/1
84401 Teterow", Teterow,4,"5/1
84401",Germany
49,BEER,1,5/2/1996,6/13/1996,5/17/1996,1,10.3,NULL,"Loosring 448
24596 Prenzlau", Prenzlau,2,"448
24596",Germany
50,BIRNB,3,5/3/1996,5/24/1996,5/10/1996,2,23.1,NULL,"Leonore-Zorbach-Allee 782
20026 Hamburg", Hamburg,3,"782
20026",Germany
51,HöRL,3,5/3/1996,7/12/1996,7/1/1996,1,15.7,NULL,"Heiko-Ladeck-Weg 9
50116 Altentreptow",ltentreptow,3,"9
50116 A",Germany
52,MITSC,5,5/3/1996,7/6/1996,5/8/1996,3,73.4,NULL,"Paulo-Mühle-Ring 57
66088 Burgdorf",Burgdorf,1,"57
66088 ",Germany
53,GIEß,9,5/4/1996,7/29/1996,6/30/1996,1,92.7,NULL,"Bruderplatz 118
88604 Jessen", Jessen,3,"118
88604",Germany
54,KARZ ,5,5/5/1996,8/10/1996,6/27/1996,1,78.5,NULL,"Nadeshda-Sager-Ring 2/3
34478 Beilngries", Beilngries,2,"2/3
34478",Germany
55,WEIß,1,5/7/1996,8/10/1996,6/27/1996,1,26.4,NULL,"Briemerstr. 701
09141 Fallingbostel", Fallingbostel,4,"701
09141",Germany
